[2026-06-10T10:59:30.495Z] GET http://localhost:5173/api/clusters/1/status → 200 (11ms, ?B)
[2026-06-10T10:59:30.496Z] GET http://localhost:5173/api/clusters/2/status → 200 (15ms, ?B)
[2026-06-10T10:59:30.496Z] GET http://localhost:5173/api/clusters/3/status → 200 (19ms, ?B)
[2026-06-10T10:59:31.022Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.112.woff2 → 200 (133ms, 16448B)
[2026-06-10T10:59:31.022Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.111.woff2 → 200 (80ms, 17464B)
[2026-06-10T10:59:31.022Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.110.woff2 → 200 (135ms, 17608B)
[2026-06-10T10:59:31.023Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.106.woff2 → 200 (190ms, 24748B)
[2026-06-10T10:59:31.023Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.113.woff2 → 200 (131ms, 16464B)
[2026-06-10T10:59:35.297Z] GET http://localhost:5173/api/clusters → 200 (14ms, 155B)
[2026-06-10T10:59:35.298Z] GET http://localhost:5173/api/dashboard/summary → 200 (25ms, 131B)
[2026-06-10T10:59:35.298Z] GET http://localhost:5173/api/dashboard/sw-status → 200 (32ms, 619B)
[2026-06-10T10:59:35.298Z] GET http://localhost:5173/api/dashboard/alerts → 200 (46ms, 554B)
[2026-06-10T10:59:35.298Z] GET http://localhost:5173/api/dashboard/docker → 200 (39ms, 384B)
[2026-06-10T10:59:35.344Z] GET http://localhost:5173/api/clusters/1/status → 200 (13ms, 705B)
[2026-06-10T10:59:35.344Z] GET http://localhost:5173/api/clusters/2/status → 200 (22ms, 560B)
[2026-06-10T10:59:35.346Z] GET http://localhost:5173/api/clusters/3/status → 200 (24ms, 696B)
